group,class,sensitivity,specificity,fnr,ppv,f1,auc,support,model
image_only,MEL,0.7407952871859488,0.9282511210759359,0.2592047128125785,0.6918844566703001,0.7155049781624383,0.9294847059067721,679,image_only
image_only,NV,0.8555900621113584,0.9218833600851141,0.144409937888124,0.9188438021117739,0.8860895197360219,0.9603497236706114,1932,image_only
image_only,BCC,0.8757515030042571,0.9706238643243578,0.12424849699373898,0.8183520599235612,0.8460793799442409,0.9871541993739144,499,image_only
image_only,AK,0.6769230769178699,0.9803868155813183,0.3230769230744379,0.5499999999965626,0.6068965512253033,0.9569421452968171,130,image_only
image_only,BKL,0.7277353689548913,0.9644953051640363,0.2722646310425642,0.7027027027009762,0.7149999994983656,0.9565518641962036,393,image_only
image_only,DF,0.805555555533179,0.9976095617527231,0.19444444443904324,0.7631578947167591,0.7837837832629657,0.9910211007820569,36,image_only
image_only,VASC,0.9210526315547092,0.9970768004249277,0.07894736841897508,0.7608695652008507,0.8333333328180271,0.9994265493657077,38,image_only
image_only,SCC,0.5851063829724988,0.9905584030210438,0.41489361701686284,0.6111111111043209,0.5978260864502598,0.9532196132675961,94,image_only
image_only,AGGREGATE,0.7735637335372374,,,,0.748064204392727,0.9667687377324599,3801,image_only
metadata_only,MEL,0.11192930780543162,0.9346572709798415,0.8880706921930956,0.27142857142760207,0.15849843545692038,0.5606607674737409,679,metadata_only
metadata_only,NV,0.3540372670805621,0.9368646334933457,0.6459627329189204,0.8528678304228767,0.5003657640327438,0.8161440280394849,1932,metadata_only
metadata_only,BCC,0.2284569138271975,0.9055118110233478,0.7715430861707985,0.2676056338021887,0.24648648598906764,0.7172415697536807,499,metadata_only
metadata_only,AK,0.6999999999946155,0.8430945246524535,0.29999999999769233,0.13643178410774148,0.22835633598739313,0.8298849611298535,130,metadata_only
metadata_only,BKL,0.0,0.9982394366194254,0.9999999999974555,0.0,0.0,0.6984180315139352,393,metadata_only
metadata_only,DF,0.5833333333171297,0.7622841965469422,0.4166666666550926,0.02292576419211471,0.04411764698596057,0.7662018592297476,36,metadata_only
metadata_only,VASC,0.3157894736759003,0.8947648153066982,0.684210526297784,0.029411764705810264,0.053811659036698906,0.5278613088661063,38,metadata_only
metadata_only,SCC,0.24468085106122678,0.9263555435659762,0.7553191489281349,0.0777027027024402,0.11794871758224851,0.7587571529423919,94,metadata_only
metadata_only,AGGREGATE,0.3172783933494213,,,,0.16869813090827826,0.7093962098686176,3801,metadata_only
fusion,MEL,0.7201767304849482,0.9397821909029661,0.27982326951357905,0.722304283603069,0.7212389375520346,0.9319705090672024,679,fusion
fusion,NV,0.8737060041403345,0.9063670411980169,0.12629399585914788,0.9060654857751443,0.8895915673521338,0.9585208208018591,1932,fusion
fusion,BCC,0.8697394789561729,0.9760751059960703,0.13026052104182312,0.8460038986338285,0.8577075093798235,0.9868904981374014,499,fusion
fusion,AK,0.7769230769171006,0.97929719422474,0.22307692307520713,0.5706214689233299,0.6579804555334912,0.9733367558619533,130,fusion
fusion,BKL,0.709923664120331,0.9668427230044111,0.2900763358771245,0.7117346938757354,0.7108280249758968,0.9467929822360799,393,fusion
fusion,DF,0.8611111110871914,0.9957503320050476,0.13888888888503087,0.6595744680710729,0.7469879512980113,0.9963626973587133,36,fusion
fusion,VASC,0.9210526315547092,0.9981397820884937,0.07894736841897508,0.8333333333134921,0.874999999479375,0.997545351553212,38,fusion
fusion,SCC,0.6276595744614079,0.9916374426757508,0.3723404255279538,0.6555555555482716,0.6413043473193525,0.9612234473021138,94,fusion
fusion,AGGREGATE,0.7950365339735087,,,,0.7625798496155048,0.9690803827898169,3801,fusion
