group,class,sensitivity,specificity,fnr,ppv,f1,auc,support,model,n_samples
image_only/overall,MEL,0.7407952871859488,0.9282511210759359,0.2592047128125785,0.6918844566703001,0.7155049781624383,0.9294847059067721,679,image_only,
image_only/overall,NV,0.8555900621113584,0.9218833600851141,0.144409937888124,0.9188438021117739,0.8860895197360219,0.9603497236706114,1932,image_only,
image_only/overall,BCC,0.8757515030042571,0.9706238643243578,0.12424849699373898,0.8183520599235612,0.8460793799442409,0.9871541993739144,499,image_only,
image_only/overall,AK,0.6769230769178699,0.9803868155813183,0.3230769230744379,0.5499999999965626,0.6068965512253033,0.9569421452968171,130,image_only,
image_only/overall,BKL,0.7277353689548913,0.9644953051640363,0.2722646310425642,0.7027027027009762,0.7149999994983656,0.9565518641962036,393,image_only,
image_only/overall,DF,0.805555555533179,0.9976095617527231,0.19444444443904324,0.7631578947167591,0.7837837832629657,0.9910211007820569,36,image_only,
image_only/overall,VASC,0.9210526315547092,0.9970768004249277,0.07894736841897508,0.7608695652008507,0.8333333328180271,0.9994265493657077,38,image_only,
image_only/overall,SCC,0.5851063829724988,0.9905584030210438,0.41489361701686284,0.6111111111043209,0.5978260864502598,0.9532196132675961,94,image_only,
image_only/overall,AGGREGATE,0.7735637335372374,,,,0.748064204392727,0.9667687377324599,3801,image_only,
image_only/indian_profile,MEL,0.7291666666590711,0.9366602687122138,0.2708333333305121,0.6796116504788386,0.7035175874332465,0.9115183141394754,96,image_only,617.0
image_only/indian_profile,NV,0.892933618841771,0.8266666666611556,0.10706638115608766,0.9413092550768819,0.91648351598185,0.9317059243397573,467,image_only,617.0
image_only/indian_profile,BCC,0.9999999999090909,0.9917491749158552,0.0,0.6874999999570313,0.8148148142716048,0.999024902490249,11,image_only,617.0
image_only/indian_profile,AK,0.6666666664444444,0.9967426710081486,0.3333333332222222,0.499999999875,0.5714285707755102,0.998371335504886,3,image_only,617.0
image_only/indian_profile,BKL,0.7727272726921488,0.9798319327714625,0.2272727272623967,0.5862068965315101,0.6666666661499423,0.9663865546218486,22,image_only,617.0
image_only/indian_profile,DF,0.7272727272066115,0.996699669965352,0.2727272727024793,0.79999999992,0.7619047613333333,0.9966996699669967,11,image_only,617.0
image_only/indian_profile,VASC,0.9999999996666666,0.9967426710081486,0.0,0.59999999988,0.7499999993437498,0.998914223669924,3,image_only,617.0
image_only/indian_profile,SCC,0.7499999998125,0.9934747145171395,0.2499999999375,0.4285714285102041,0.545454544892562,0.9946982055464927,4,image_only,617.0
image_only/indian_profile,AGGREGATE,0.817345869022127,,,,0.7162838080865719,0.9746648912849537,617,image_only,617.0
image_only/western_profile,MEL,0.8076923076871302,0.9108433734917811,0.19230769230645958,0.7730061349645828,0.7899686515329055,0.9497451343836885,156,image_only,571.0
image_only/western_profile,NV,0.7980769230730862,0.931129476581457,0.20192307692210615,0.8691099476394288,0.83208019999799,0.9486119940665395,208,image_only,571.0
image_only/western_profile,BCC,0.91588785045873,0.9719827586185948,0.08411214953192418,0.882882882874929,0.8990825682992594,0.9923662584595553,107,image_only,571.0
image_only/western_profile,AK,0.74999999990625,0.9928952042611139,0.24999999996875,0.59999999994,0.6666666660987655,0.9356127886323268,8,image_only,571.0
image_only/western_profile,BKL,0.7857142857030612,0.960079840317445,0.21428571428265306,0.7333333333235555,0.7586206891453031,0.9614770459081837,70,image_only,571.0
image_only/western_profile,DF,0.0,0.9982456140333364,0.9999999989999999,0.0,0.0,0.9315789473684211,1,image_only,571.0
image_only/western_profile,VASC,0.99999999975,0.9999999999982363,0.0,0.99999999975,0.9999999992499999,1.0,4,image_only,571.0
image_only/western_profile,SCC,0.588235294083045,0.9891696750884672,0.41176470585813146,0.6249999999609375,0.6060606055243342,0.9135697600339774,17,image_only,571.0
image_only/western_profile,AGGREGATE,0.7057008326335567,,,,0.6940599229660819,0.9541202411065866,571,image_only,571.0
metadata_only/overall,MEL,0.11192930780543162,0.9346572709798415,0.8880706921930956,0.27142857142760207,0.15849843545692038,0.5606607674737409,679,metadata_only,
metadata_only/overall,NV,0.3540372670805621,0.9368646334933457,0.6459627329189204,0.8528678304228767,0.5003657640327438,0.8161440280394849,1932,metadata_only,
metadata_only/overall,BCC,0.2284569138271975,0.9055118110233478,0.7715430861707985,0.2676056338021887,0.24648648598906764,0.7172415697536807,499,metadata_only,
metadata_only/overall,AK,0.6999999999946155,0.8430945246524535,0.29999999999769233,0.13643178410774148,0.22835633598739313,0.8298849611298535,130,metadata_only,
metadata_only/overall,BKL,0.0,0.9982394366194254,0.9999999999974555,0.0,0.0,0.6984180315139352,393,metadata_only,
metadata_only/overall,DF,0.5833333333171297,0.7622841965469422,0.4166666666550926,0.02292576419211471,0.04411764698596057,0.7662018592297476,36,metadata_only,
metadata_only/overall,VASC,0.3157894736759003,0.8947648153066982,0.684210526297784,0.029411764705810264,0.053811659036698906,0.5278613088661063,38,metadata_only,
metadata_only/overall,SCC,0.24468085106122678,0.9263555435659762,0.7553191489281349,0.0777027027024402,0.11794871758224851,0.7587571529423919,94,metadata_only,
metadata_only/overall,AGGREGATE,0.3172783933494213,,,,0.16869813090827826,0.7093962098686176,3801,metadata_only,
metadata_only/indian_profile,MEL,0.03124999999967448,0.9654510556603351,0.9687499999899088,0.14285714285034012,0.051282050986631605,0.6295585412667946,96,metadata_only,617.0
