group,class,sensitivity,specificity,fnr,ppv,f1,auc,support,model,n_samples
fusion/overall,MEL,0.7201767304849482,0.9397821909029661,0.27982326951357905,0.722304283603069,0.7212389375520346,0.9319705090672024,679,fusion,
fusion/overall,NV,0.8737060041403345,0.9063670411980169,0.12629399585914788,0.9060654857751443,0.8895915673521338,0.9585208208018591,1932,fusion,
fusion/overall,BCC,0.8697394789561729,0.9760751059960703,0.13026052104182312,0.8460038986338285,0.8577075093798235,0.9868904981374014,499,fusion,
fusion/overall,AK,0.7769230769171006,0.97929719422474,0.22307692307520713,0.5706214689233299,0.6579804555334912,0.9733367558619533,130,fusion,
fusion/overall,BKL,0.709923664120331,0.9668427230044111,0.2900763358771245,0.7117346938757354,0.7108280249758968,0.9467929822360799,393,fusion,
fusion/overall,DF,0.8611111110871914,0.9957503320050476,0.13888888888503087,0.6595744680710729,0.7469879512980113,0.9963626973587133,36,fusion,
fusion/overall,VASC,0.9210526315547092,0.9981397820884937,0.07894736841897508,0.8333333333134921,0.874999999479375,0.997545351553212,38,fusion,
fusion/overall,SCC,0.6276595744614079,0.9916374426757508,0.3723404255279538,0.6555555555482716,0.6413043473193525,0.9612234473021138,94,fusion,
fusion/overall,AGGREGATE,0.7950365339735087,,,,0.7625798496155048,0.9690803827898169,3801,fusion,
fusion/indian_profile,MEL,0.6770833333262803,0.942418426101838,0.32291666666330293,0.6842105263085873,0.6806282717441956,0.9297724728087012,96,fusion,617.0
fusion/indian_profile,NV,0.901498929334258,0.7999999999946668,0.09850107066360064,0.9334811529912783,0.9172113284741883,0.9339757316202713,467,fusion,617.0
fusion/indian_profile,BCC,0.7272727272066115,0.9933993399323542,0.2727272727024793,0.6666666666111111,0.6956521733534972,0.9806480648064806,11,fusion,617.0
fusion/indian_profile,AK,0.9999999996666666,0.9918566775228146,0.0,0.374999999953125,0.5454545449586776,0.997828447339848,3,fusion,617.0
fusion/indian_profile,BKL,0.6818181817871901,0.9848739495781768,0.31818181816735536,0.6249999999739584,0.652173912516068,0.9562261268143621,22,fusion,617.0
fusion/indian_profile,DF,0.8181818181074381,0.9900990098993563,0.18181818180165288,0.59999999996,0.6923076917662723,0.9915991599159916,11,fusion,617.0
fusion/indian_profile,VASC,0.9999999996666666,0.99837133550326,0.0,0.7499999998125,0.8571428564081632,1.0,3,fusion,617.0
fusion/indian_profile,SCC,0.99999999975,0.9934747145171395,0.0,0.4999999999375,0.666666666111111,0.9999999999999999,4,fusion,617.0
fusion/indian_profile,AGGREGATE,0.8507318737427811,,,,0.7134046812194534,0.9737562504132069,617,fusion,617.0
fusion/western_profile,MEL,0.7692307692258383,0.9277108433712585,0.2307692307677515,0.7999999999946668,0.7843137249852621,0.9418983626814952,156,fusion,571.0
fusion/western_profile,NV,0.841346153842109,0.9008264462785102,0.1586538461530834,0.8293838862519934,0.8353221952000957,0.945565797838525,208,fusion,571.0
fusion/western_profile,BCC,0.8878504672814219,0.9741379310323833,0.11214953270923224,0.8878504672814219,0.8878504667814219,0.9884889622945536,107,fusion,571.0
fusion/western_profile,AK,0.624999999921875,0.9946714031953914,0.374999999953125,0.624999999921875,0.624999999421875,0.9795737122557726,8,fusion,571.0
fusion/western_profile,BKL,0.771428571417551,0.958083832333417,0.22857142856816326,0.7199999999904,0.7448275856972175,0.9454091816367265,70,fusion,571.0
fusion/western_profile,DF,0.0,0.9982456140333364,0.9999999989999999,0.0,0.0,0.980701754385965,1,fusion,571.0
fusion/western_profile,VASC,0.99999999975,0.9999999999982363,0.0,0.99999999975,0.9999999992499999,1.0,4,fusion,571.0
fusion/western_profile,SCC,0.588235294083045,0.9909747292400886,0.41176470585813146,0.6666666666222222,0.6249999994628905,0.9578466765767679,17,fusion,571.0
fusion/western_profile,AGGREGATE,0.6853864069891076,,,,0.6877892468363587,0.9674355559587258,571,fusion,571.0
fusion_dropout/overall,MEL,0.706921944034305,0.9445868033308954,0.29307805596422226,0.735068912709441,0.720720720219829,0.9357217391140266,679,fusion_dropout,
