model,age_decade,n,balanced_accuracy,mel_sensitivity
image_only,<30,280,0.7343171296296296,0.777777777691358
image_only,30-39,432,0.6140717588545006,0.5777777777649383
image_only,40-49,734,0.7913143644545965,0.6222222222153087
image_only,50-59,742,0.8055176446907022,0.8203592814322135
image_only,60-69,591,0.7463344726248875,0.6785714285653699
image_only,70-79,614,0.7709934580879066,0.8150684931451023
image_only,≥80,408,0.7423294258848161,0.7454545454477686
metadata_only,<30,280,0.08919270833333333,0.0
metadata_only,30-39,432,0.1924418604651163,0.0
metadata_only,40-49,734,0.300531045751634,0.03333333333296296
metadata_only,50-59,742,0.28421118846937604,0.17365269460973862
metadata_only,60-69,591,0.3192919458973521,0.2232142857122927
metadata_only,70-79,614,0.22031800484782255,0.10273972602669357
metadata_only,≥80,408,0.20855672668716146,0.036363636363305786
fusion,<30,280,0.7076967592592593,0.5555555554938272
fusion,30-39,432,0.7510411202424666,0.5333333333214815
fusion,40-49,734,0.8133698581325983,0.6666666666592592
fusion,50-59,742,0.7555557739686678,0.7425149700554341
fusion,60-69,591,0.7961772698033495,0.642857142851403
fusion,70-79,614,0.7798633526886019,0.7945205479397636
fusion,≥80,408,0.7779698398517636,0.7999999999927272
