model,class,support,fn,fnr
fusion,MEL,679,679,1.0
fusion,NV,1932,1741,0.9011
fusion,BCC,499,499,1.0
fusion,AK,130,89,0.6846
fusion,BKL,393,393,1.0
fusion,DF,36,36,1.0
fusion,VASC,38,38,1.0
fusion,SCC,94,10,0.1064
fusion_dropout,MEL,679,679,1.0
fusion_dropout,NV,1932,1932,1.0
fusion_dropout,BCC,499,400,0.8016
fusion_dropout,AK,130,27,0.2077
fusion_dropout,BKL,393,393,1.0
fusion_dropout,DF,36,36,1.0
fusion_dropout,VASC,38,38,1.0
fusion_dropout,SCC,94,66,0.7021
fusion_reweighted,MEL,679,679,1.0
fusion_reweighted,NV,1932,1546,0.8002
fusion_reweighted,BCC,499,499,1.0
fusion_reweighted,AK,130,40,0.3077
fusion_reweighted,BKL,393,393,1.0
fusion_reweighted,DF,36,36,1.0
fusion_reweighted,VASC,38,38,1.0
fusion_reweighted,SCC,94,32,0.3404
